Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Geologic Unit Code	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	WELL_COMPLETION_REPORT_URL	Monitoring Area	Watershed	Well Status	Inactive Date	TOC Elevation	LWA Notes	Source
MO-22543	NULL	35.86382	-106.27828	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location MCO-4B. See location crosswalk table with EVENT 2262 sample collection logs., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-22546	NULL	35.86381	-106.27772	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location 'Mort PRB Gravel Cell 6.' See location crosswalk table with EVENT 2262 sample collection logs., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-22547	NULL	35.8638	-106.27772	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location 'Mort PRB Gravel Cell 12.' See location crosswalk table with EVENT 2262 sample collection logs., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-22548	NULL	35.86382	-106.27768	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location 'Mort PRB Apatite Cell 8.' See location crosswalk table with EVENT 2262 sample collection logs., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-22549	NULL	35.8638	-106.27769	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location 'Mort PRB Apatite Cell 4.' See location crosswalk table with EVENT 2262 sample collection logs., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-22550	NULL	35.86379	-106.27769	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location 'Mort PRB Apatite Cell 10.' See location crosswalk table with EVENT 2262 sample collection logs., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-22551	NULL	35.86381	-106.27766	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location 'Mort PRB Bio Cell 7.' See location crosswalk table with EVENT 2262 sample collection logs., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-22552	NULL	35.8638	-106.27766	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location 'Mort PRB Bio Cell 3.' See location crosswalk table with EVENT 2262 sample collection logs., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-22553	NULL	35.86379	-106.27766	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location 'Mort PRB Bio Cell 9.' See location crosswalk table with EVENT 2262 sample collection logs., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-22555	NULL	35.86379	-106.27765	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location 'Mort PRB Limestone Cell 5.' See location crosswalk table with EVENT 2262 sample collection logs., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-22560	NULL	35.86339	-106.27683	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location MCO-5. See location crosswalk table with EVENT 2262 sample collection logs., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-24226	NULL	35.85999	-106.26744	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, provided by Dave Broxton from WQH 'penetrations' database, same xy as MCOI-5. Coordinate accuracy is unknown., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-24227	NULL	35.86034	-106.26711	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, provided by Dave Broxton from WQH 'penetrations' database, same xy as MCOI-6. Coordinate accuracy is unknown., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-24228	NULL	35.86065	-106.27122	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, provided by Dave Broxton from WQH 'penetrations' database, same xy as MCOI-4. Coordinate accuracy is unknown., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-24229	NULL	35.8625	-106.27392	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, provided by Dave Broxton from WQH 'penetrations' database, same xy as MCOI-8. Coordinate accuracy is unknown., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
MO-24232	NULL	35.85817	-106.26707	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Accuracy of coordinates is unknown., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Apatite Cell	NULL	35.86382	-106.27768	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Apatite cell, Port 8, 4, and 10., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Apatite Cell 10	NULL	35.86379	-106.27769	6882.182	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Apatite cell, Port 10., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Apatite Cell 4	NULL	35.8638	-106.27769	6882.391	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Apatite cell, Port 4., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Apatite Cell 8	NULL	35.86382	-106.27768	6882.220	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Apatite cell, Port 8., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Bio Cell	NULL	35.86379	-106.27766	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Biobarrier cell, Port 7, 3 and 9., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Bio Cell 3	NULL	35.8638	-106.27766	6882.913	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Biobarrier cell, Port 3., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Bio Cell 7	NULL	35.86381	-106.27766	6882.319	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Biobarrier cell, Port 7., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Bio Cell 9	NULL	35.86379	-106.27766	6882.697	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Biobarrier cell, Port 9., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Gravel Cell	NULL	35.86382	-106.27771	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Gravel cell, Ports 11, 6, and 12., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Gravel Cell 11	NULL	35.86382	-106.27771	6882.544	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Gravel cell, Port 11., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Gravel Cell 12	NULL	35.8638	-106.27772	6882.358	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Gravel cell, Port 12., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Gravel Cell 6	NULL	35.86381	-106.27772	6882.524	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Gravel cell, Port 6., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Limestone Cell 13	NULL	35.8638	-106.27764	6882.672	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Limestone cell, Port 13., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Limestone Cell 14	NULL	35.86378	-106.27765	6882.881	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Limestone cell, Port 14., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mort PRB Limestone Cell 5	NULL	35.86379	-106.27765	6882.851	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Limestone cell, Port 5., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
Mortandad at GS-1	NULL	35.8654	-106.29604	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Mortendad	NULL	2012-03-15 10:48:00	[84]		Well Info	
MT-1	Alluvial	35.86052	-106.26739	6811.630	NULL	1988-11-01 00:00:00	69.00	NULL	39	59.000	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info	
MT-2	Alluvial	35.86066	-106.26484	6796.200	NULL	1988-11-01 00:00:00	64.00	NULL	44	64.000	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info	
MT-3	Alluvial	35.86097	-106.26497	6796.65	NULL	1988-11-01 00:00:00	74.00	NULL	44	64.000	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
MT-4	Alluvial	35.86091	-106.26302	NULL	NULL	1988-11-01 00:00:00	74.00	NULL	54	64.000	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info	
NPDES Outfall 01A001	NULL	35.87391	-106.31929	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
NPDES Outfall 03A027	NULL	35.87397	-106.31913	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
O-1	Regional	35.87079	-106.21969	NULL	NULL	1990-08-01 00:00:00	2497.00	NULL	1017	2477.000	NULL, NULL	NULL	General	Los Alamos	A	NULL	[84]		Well Info	
O-4	Regional	35.87288	-106.26039	NULL	NULL	1990-03-01 00:00:00	2617.00	NULL	1115	2596.000	NULL, NULL	NULL	TA-21	Los Alamos	A	NULL	[84]		Well Info	
Otowi Booster #2	NULL	35.87481	-106.24924	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	TA-21	Los Alamos	A	2012-03-15 10:48:00	[84]		Well Info	
Pajarito Booster #2	NULL	35.84542	-106.26659	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Mortendad	A	2012-03-15 10:48:00	[84]		Well Info	
Pajarito Canyon	NULL	35.83691	-106.25869	6690.000	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	TA-54	Pajarito	NULL	2012-03-15 10:48:00	[84]		Well Info	
PAO-1	Alluvial	35.88934	-106.30487	6954.970	Qal	1998-10-30 00:00:00	13.74	4 in	5.89	10.890	Location Desc: Notes: Aggregate.  Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 3072, duplicate location, changed to Synonym., NULL, Location Desc: Notes: Aggregate.  Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 3072, duplicate location, changed to Synonym., Location Desc: Notes: Aggregate.  Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 3072, duplicate location, changed to Synonym.	NULL	General	Los Alamos	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
PAO-2	Alluvial	35.88858	-106.30191	6930.980	Qal	1998-11-02 00:00:00	13.91	4 in	6.06	11.060	NULL, NULL	NULL	General	Los Alamos	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
PAO-3	Alluvial	35.88349	-106.25901	6578.580	Qal	1998-08-27 00:00:00	13.47	4 in	5.62	10.620	Pueblo Canyon alluvial wellefile N. McCranie allu PAO-3. Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 170252, duplicate location, changed to Synonym., NULL, Pueblo Canyon alluvial wellefile N. McCranie allu PAO-3. Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 170252, duplicate location, changed to Synonym., Pueblo Canyon alluvial wellefile N. McCranie allu PAO-3. Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 170252, duplicate location, changed to Synonym.	NULL	General	Los Alamos	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
PAO-4	Alluvial	35.87866	-106.23085	6437.370	Alluvial	1997-07-24 00:00:00	9.82	6440.77	1.97	6.970	Pueblo Canyon alluvial wellefile N. McCranie ALLU PAO-4. Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 170262, duplicate location, changed to Synonym., NULL, Pueblo Canyon alluvial wellefile N. McCranie ALLU PAO-4. Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 170262, duplicate location, changed to Synonym., Pueblo Canyon alluvial wellefile N. McCranie ALLU PAO-4. Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 170262, duplicate location, changed to Synonym.	NULL	General	Los Alamos	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
PAO-5n	Alluvial	35.87326	-106.22011	6369.79	Qal	1998-03-24 00:00:00	15.28	4	7.43	12.430	NULL, NULL	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
PAO-5s	Alluvial	35.87287	-106.22042	6368.300	Tpf	1998-03-23 00:00:00	20.90	4 in	8.05	18.050	NULL, NULL	NULL	General	Los Alamos	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
PCAO-4	NULL	35.85492	-106.30529	7055.620	NULL	NULL	NULL	NULL	NULL	NULL	Abandoned Location - Ground Level, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
PCAO-5	Alluvial	35.85353	-106.29474	6943.290	Qal	2008-05-03 00:00:00	30.00	4 in	14.7	24.700	Brass Cap, NULL, Brass Cap, Brass Cap	NULL	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
PCAO-6	Alluvial	35.85336	-106.29322	6921.400	Qal	2008-06-05 00:00:00	20.00	4 in	8	15.000	Brass Cap, NULL, Brass Cap, Brass Cap	NULL	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
PCAO-7a	Alluvial	35.83869	-106.26174	6711.970	Qal	2008-05-30 00:00:00	25.00	4 in	9.7	19.700	Brass Cap, NULL, Brass Cap, Brass Cap	NULL	TA-54	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
PCAO-7b1	Alluvial	35.83853	-106.2621	6713.620	Qal	2008-05-21 00:00:00	60.00	4 in	44	54.000	Brass Cap, NULL, Brass Cap, Brass Cap	NULL	TA-54	Pajarito	A	NULL	[84]	Well Diameter [in] updated from MW	Well Info	
PCAO-7b2	Alluvial	35.8385	-106.26205	6713.390	Qal	2008-05-27 00:00:00	25.00	4 in	10	20.000	Brass Cap, NULL, Brass Cap, Brass Cap	NULL	TA-54	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
PCAO-7c	Alluvial	35.8381	-106.26252	6714.570	Qal	2008-05-16 00:00:00	25.00	4 in	9.7	19.700	Brass Cap, NULL, Brass Cap, Brass Cap	NULL	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
PCAO-8	Alluvial	35.82722	-106.23837	6584.450	Qal	2008-06-02 00:00:00	25.00	4	9.7	19.700	Brass Cap, NULL, Brass Cap, Brass Cap	NULL	TA-54	Pajarito	A	NULL	[84]		Well Info	
PCAO-9	Alluvial	35.82614	-106.23271	6558.600	Qal	2008-06-12 00:00:00	21.00	4 in	6	16.000	Brass Cap, NULL, Brass Cap, Brass Cap	NULL	TA-54	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
PCI-2	Intermediate	35.85331	-106.29309	6920.95	Tpf	2009-04-10 00:00:00	533.30	5	512	522.000	NULL, NULL	NULL	General	Pajarito	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
PCO-1	Alluvial	35.83716	-106.25843	6687	NULL	1985-06-30 00:00:00	12.00	NULL	4	12.000	NULL, NULL	NULL	TA-54	Pajarito	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
PCO-2	Alluvial	35.83016	-106.24567	6618.3	NULL	1985-06-30 00:00:00	9.50	NULL	1.5	9.500	NULL, NULL	NULL	TA-54	Pajarito	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
PCO-3	Alluvial	35.82479	-106.23087	6546.3	NULL	1985-06-30 00:00:00	17.70	NULL	5.7	17.700	NULL, NULL	NULL	General	Pajarito	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
PM-00004	NULL	35.85021	-106.26618	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Record created for data migration. Coordinates loaded in 2008 for data cleanup, same xy as location PM-4., NULL	NULL	General	Mortendad	NULL	NULL	[84]		Well Info	
PM-1	Regional	35.85947	-106.2253	NULL	NULL	1965-02-01 00:00:00	2499.00	NULL	945	2479.000	NULL, Water supply well	NULL	General	Sandia	A	NULL	[84]		Well Info	
PM-2	Regional	35.8383	-106.26255	NULL	NULL	1965-07-15 00:00:00	2300.00	NULL	1004	2280.000	NULL, Water supply well	NULL	TA-54	Pajarito	A	NULL	[84]		Well Info	
PM-3	Regional	35.86337	-106.24267	NULL	NULL	1966-11-01 00:00:00	2552.00	NULL	956	2532.000	NULL, Water supply well	NULL	General	Sandia	A	NULL	[84]		Well Info	
PM-4	Regional	35.85021	-106.26618	NULL	NULL	1981-08-15 00:00:00	2874.00	NULL	1260	2854.000	NULL, Water supply well	NULL	General	Mortendad	A	NULL	[84]		Well Info	
PM-5	Regional	35.85858	-106.27803	NULL	NULL	1982-09-01 00:00:00	3092.00	NULL	1440	3072.000	NULL, Water supply well	NULL	General	Mortendad	A	NULL	[84]		Well Info	
PO-4B	Alluvial	35.88141	-106.24817	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Locations estimated in April 2010 by georeferencing locations on old ESR maps., NULL, Locations estimated in April 2010 by georeferencing locations on old ESR maps. , Locations estimated in April 2010 by georeferencing locations on old ESR maps. 	NULL	General	Los Alamos	NULL	2012-03-15 10:48:00	[84]	Aquifer updated from MW	Well Info	
POI-4	Intermediate	35.87176	-106.21957	6372.29	Tb4	1996-05-13 00:00:00	176.50	4	159	174.000	NULL, NULL, Survey of Aluminum disc, Survey of Aluminum disc	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
PRB-MW-01	Alluvial	35.86383	-106.27775	6881.850	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Monitoring well 1 (upstream), NULL, Mortandad Canyon Permeable Reactive Barrier - Monitoring well 1 (upstream), Mortandad Canyon Permeable Reactive Barrier - Monitoring well 1 (upstream)	NULL	Chromium	Mortendad	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
PRB-MW-02	Alluvial	35.86373	-106.27756	6881.600	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Monitoring well 2 (downstream), NULL, Mortandad Canyon Permeable Reactive Barrier - Monitoring well 2 (downstream), Mortandad Canyon Permeable Reactive Barrier - Monitoring well 2 (downstream)	NULL	Chromium	Mortendad	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
PU-00001	NULL	35.88021	-106.24788	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Record created for data migration. Coordinates loaded in 2008 for data cleanup, same xy as location PO-4., NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
PU-00002	NULL	35.87176	-106.21957	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Record created for data migration. Coordinates loaded in 2008 for data cleanup, same xy as location POI-4. Coordinate accuracy is unknown., NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
Pueblo 1	NULL	35.88902	-106.30409	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Los Alamos	NULL	2012-03-15 10:48:00	[84]		Well Info	
Pueblo 2	NULL	35.8848	-106.27061	6637.000	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
Pueblo 3	NULL	35.87811	-106.22894	6427.000	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
R-1	Regional	35.86356	-106.27721	6881.21	Tp	2004-03-12 00:00:00	1080.10	4.5	1031.12	1057.420	NULL, Well Development information from the field can be found in \\win.lanl.gov\dfs root\Pueblo\GWFA\Hard forms\Construction\R-1\Final Well IM Forms3., Coordinates obtained from Brass Cap Monument survey data in WCR., Coordinates obtained from Brass Cap Monument survey data in WCR., Coordinates obtained from Brass Cap Monument survey data in WCR.	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-10 OB	Regional	35.85027	-106.20597	6362.310	NULL	NULL	NULL	NULL	NULL	NULL	Brass Cap location Kleinfelder survey, NULL, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	General	Sandia	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
R-10 S1	Regional	35.85027	-106.20597	6362.31	Tsf	NULL	NULL	NULL	874	897.000	NULL, NULL, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	General	Sandia	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-10 S2	Regional	35.85027	-106.20597	6362.31	Tsf	NULL	NULL	NULL	1042	1065.000	NULL, NULL, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	General	Sandia	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-10a	Regional	35.85032	-106.20615	6363.74	Tsf	2005-08-18 00:00:00	706.00	4.46	690	700.000	NULL, Single Completion top of Regional Aquifer, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	General	Sandia	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-11	Regional	35.86288	-106.25154	6673.72	Tp	2004-10-08 00:00:00	901.70	4.5	855	877.900	NULL, Site restoration was being completed at time WCR was being written.  Should be completed Spring 2005.  No geologic, hydrogeologic, or geophysical data were collected during the drilling of the new R-11 well in 2004., Location information taken from the Brass Cap Monument of the new R-11 well., Location information taken from the Brass Cap Monument of the new R-11 well.	NULL	Chromium	Sandia	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-12 OB	Intermediate	35.85892	-106.22635	6499.6	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, Location information from Brass Cap survey data in WCR., Location information from Brass Cap survey data in WCR.	NULL	General	Sandia	NULL	NULL	[84]	Aquifer updated from MW, Ground Elevation updated from MW	Well Info	
R-12 S1	Intermediate	35.85892	-106.22635	6499.6	Tb4	NULL	NULL	NULL	459	467.500	NULL, NULL, original x, y, z = 1647398,1767947,6505.95, Location information from Brass Cap survey data in WCR., Location information from Brass Cap survey data in WCR.	NULL	General	Sandia	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-12 S2	Intermediate	35.85892	-106.22635	6499.6	Tp	NULL	NULL	NULL	504.5	508.000	NULL, NULL, Location information from Brass Cap survey data in WCR., Location information from Brass Cap survey data in WCR., original x, y, z = 1647398,1767947,6505.95	NULL	General	Sandia	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-12 S3	Regional	35.85892	-106.22635	6499.6	Tsfb	NULL	NULL	NULL	801	839.000	NULL, NULL, Location information from Brass Cap survey data in WCR., original x, y, z = 1647398,1767947,6505.95, Location information from Brass Cap survey data in WCR.	NULL	General	Sandia	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-13	Regional	35.8564	-106.24806	6673.05	Tp	2001-10-06 00:00:00	1029.40	4.5	958.33	1018.720	NULL, NULL, Location information from Brass Cap survey data in WCR., Location information from Brass Cap survey data in WCR., original x, y = 1640988, 1766989	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-13 OB	Regional	35.8564	-106.24806	6673.050	NULL	NULL	NULL	NULL	NULL	NULL	Location information from Brass Cap survey data in WCR., NULL, Location information from Brass Cap survey data in WCR., Location information from Brass Cap survey data in WCR.	NULL	Chromium	Mortendad	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
R-14 S1	Regional	35.86178	-106.28565	7062.08	Tp	NULL	NULL	NULL	1200.6	1233.200	NULL, NULL, Location info taken from Brass Cap survey data for R-14., Location info taken from Brass Cap survey data for R-14.	NULL	MDA C	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-14 S2	Regional	35.86178	-106.28565	7062.08	Tp	NULL	NULL	NULL	1286.5	1293.100	NULL, NULL, Location info taken from Brass Cap survey data for R-14., Location info taken from Brass Cap survey data for R-14.	NULL	MDA C	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-15	Regional	35.85991	-106.26724	6820	Tp	1999-10-30 00:00:00	1030.60	5	958.6	1020.300	NULL, Well diameter corrected to 5 in., other records list it as 4.5 but WCR as built has 5" id, 5.56" od, Location info taken from Brass Monument survey data in R-15 WCR., Survey is from brass monument., Location info taken from Brass Monument survey data in R-15 WCR.	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-15 OB	Regional	35.85991	-106.26724	6820	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, Location info taken from Brass Monument survey data in R-15 WCR., Location info taken from Brass Monument survey data in R-15 WCR.	NULL	Chromium	Mortendad	NULL	NULL	[84]	Aquifer updated from MW, Ground Elevation updated from MW	Well Info	
R-17 OB	Regional	35.85328	-106.29259	6921.510	NULL	NULL	NULL	NULL	NULL	NULL	Brass Cap location Kleinfelder survey, NULL, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	General	Pajarito	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
R-17 S1	Regional	35.85328	-106.29259	6921.51	Tpf	NULL	NULL	NULL	1057	1080.000	NULL, NULL, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-17 S2	Regional	35.85328	-106.29259	6921.51	Tpf	NULL	NULL	NULL	1124	1134.000	NULL, NULL, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
